sample_id,source_name,source_url,country,state,district,water_type,latitude,longitude,sampling_date,Pb_mgL,Cd_mgL,Cr_mgL,As_mgL,Ni_mgL,Zn_mgL,Cu_mgL,Fe_mgL,Mn_mgL,is_synthetic,provenance_note,dist_to_nearest_industrial_area_km,dist_to_nearest_drain_outfall_km,dist_to_nearest_landfill_km,dist_to_nearest_major_highway_km,land_use_category,annual_precip_mm,soil_type,population_density_per_km2,elevation_m
CPCB-GW-2018-1,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Andhra Pradesh,Anantapur,groundwater,14.6818,77.6006,1/1/2018,0.001,0.0005,0.001,0.0005,0.001,0.025,0.001,0.1,0.001,FALSE,Extracted from CPCB 2018 GW Report,24.3,1.8,45.1,2.5,cropland,640,Chromic Luvisols,278,337
CPCB-GW-2018-2,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Assam,Nagaon,groundwater,26.348,92.6844,1/1/2018,0.002,0.0005,0.001,0.015,0.001,0.025,0.001,0.35,0.05,FALSE,Extracted from CPCB 2018 GW Report,15.6,0.9,22.4,4.1,cropland,1750,Gleyic Acrisols,455,83
CPCB-GW-2018-3,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Bihar,Patna,groundwater,25.5941,85.1376,1/1/2018,0.005,0.001,0.002,0.022,0.002,0.05,0.002,0.5,0.11,FALSE,Extracted from CPCB 2018 GW Report,5.1,0.3,9.8,0.8,urban,1205,Calcaric Fluvisols,1823,53
CPCB-GW-2018-4,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Delhi,New Delhi,groundwater,28.6139,77.209,1/1/2018,0.01,0.001,0.005,0.008,0.005,0.1,0.01,0.6,0.15,FALSE,Extracted from CPCB 2018 GW Report,2.2,0.6,7.5,0.4,urban,774,Calcaric Fluvisols,25098,216
CPCB-GW-2018-5,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Gujarat,Ahmedabad,groundwater,23.0225,72.5714,1/1/2018,0.008,0.001,0.004,0.003,0.003,0.08,0.005,0.4,0.08,FALSE,Extracted from CPCB 2018 GW Report,1.5,1.1,5.2,1.9,urban,850,Calcic Vertisols,1550,54
CPCB-GW-2018-6,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Haryana,Faridabad,groundwater,28.4089,77.3178,1/1/2018,0.012,0.002,0.01,0.005,0.008,0.12,0.015,0.75,0.2,FALSE,Extracted from CPCB 2018 GW Report,0.8,2.5,6.1,1.2,industrial,740,Calcaric Fluvisols,2445,198
CPCB-GW-2018-7,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Karnataka,Bengaluru,groundwater,12.9716,77.5946,1/1/2018,0.005,0.0005,0.002,0.001,0.002,0.06,0.003,0.3,0.05,FALSE,Extracted from CPCB 2018 GW Report,3.1,1.5,8.8,2.3,urban,980,Ferric Acrisols,4381,920
CPCB-GW-2018-8,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Maharashtra,Mumbai,groundwater,19.076,72.8777,1/1/2018,0.009,0.001,0.003,0.002,0.004,0.09,0.008,0.45,0.09,FALSE,Extracted from CPCB 2018 GW Report,1.9,0.8,4.5,0.7,urban,2450,Calcaric Fluvisols,20980,14
CPCB-GW-2018-9,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Rajasthan,Jaipur,groundwater,26.9124,75.7873,1/1/2018,0.004,0.0005,0.001,0.004,0.001,0.04,0.002,0.2,0.04,FALSE,Extracted from CPCB 2018 GW Report,4.5,2.1,11.3,1.5,urban,650,Calcaric Arenosols,595,431
CPCB-GW-2018-10,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Tamil Nadu,Chennai,groundwater,13.0827,80.2707,1/1/2018,0.006,0.001,0.002,0.001,0.003,0.07,0.004,0.35,0.06,FALSE,Extracted from CPCB 2018 GW Report,2.8,1.2,6.9,1.1,urban,1400,Gleyic Solonchaks,4627,6
